image_name,lat,lon,date,spectrum
33.2024_-108.0161_20220515_Infrared.png,33.2024,-108.0161,2022-05-15,Infrared
33.2211_-108.069_20220515_RGB.png,33.2211,-108.069,2022-05-15,RGB
33.2359_-108.0473_20220515_RGB.png,33.2359,-108.0473,2022-05-15,RGB
33.2235_-108.0541_20220515_RGB.png,33.2235,-108.0541,2022-05-15,RGB
33.2072_-107.9277_20220516_RGB.png,33.2072,-107.9277,2022-05-16,RGB
33.2401_-107.8924_20220516_RGB.png,33.2401,-107.8924,2022-05-16,RGB
33.2133_-108.0236_20220516_RGB.png,33.2133,-108.0236,2022-05-16,RGB
33.2663_-108.0174_20220516_RGB.png,33.2663,-108.0174,2022-05-16,RGB
33.2618_-108.0398_20220516_RGB.png,33.2618,-108.0398,2022-05-16,RGB
33.2677_-108.0246_20220516_RGB.png,33.2677,-108.0246,2022-05-16,RGB
33.2007_-107.9437_20220516_RGB.png,33.2007,-107.9437,2022-05-16,RGB
33.2007_-107.9437_20220516_Infrared.png,33.2007,-107.9437,2022-05-16,Infrared
33.2723_-107.8981_20220516_Infrared.png,33.2723,-107.8981,2022-05-16,Infrared
33.264_-107.9856_20220516_Infrared.png,33.264,-107.9856,2022-05-16,Infrared
33.2498_-107.9197_20220516_RGB.png,33.2498,-107.9197,2022-05-16,RGB
33.2482_-107.9078_20220516_Infrared.png,33.2482,-107.9078,2022-05-16,Infrared
33.2358_-107.886_20220516_Infrared.png,33.2358,-107.886,2022-05-16,Infrared
33.2265_-107.8878_20220516_RGB.png,33.2265,-107.8878,2022-05-16,RGB
33.2059_-107.9525_20220516_Infrared.png,33.2059,-107.9525,2022-05-16,Infrared
33.2015_-107.9136_20220516_Infrared.png,33.2015,-107.9136,2022-05-16,Infrared
33.1999_-107.9386_20220516_RGB.png,33.1999,-107.9386,2022-05-16,RGB
33.2027_-107.9056_20220516_Infrared.png,33.2027,-107.9056,2022-05-16,Infrared
33.1989_-107.9247_20220516_RGB.png,33.1989,-107.9247,2022-05-16,RGB
33.2142_-107.9091_20220516_Infrared.png,33.2142,-107.9091,2022-05-16,Infrared
33.237_-107.9783_20220516_Infrared.png,33.237,-107.9783,2022-05-16,Infrared
33.2525_-107.9619_20220516_Infrared.png,33.2525,-107.9619,2022-05-16,Infrared
33.2485_-107.9819_20220516_Infrared.png,33.2485,-107.9819,2022-05-16,Infrared
33.2446_-108.0637_20220516_Infrared.png,33.2446,-108.0637,2022-05-16,Infrared
33.2677_-108.0087_20220516_Infrared.png,33.2677,-108.0087,2022-05-16,Infrared
33.2793_-108.0122_20220516_Infrared.png,33.2793,-108.0122,2022-05-16,Infrared
33.2734_-108.0156_20220516_Infrared.png,33.2734,-108.0156,2022-05-16,Infrared
33.2734_-108.0156_20220516_RGB.png,33.2734,-108.0156,2022-05-16,RGB
33.7984_-107.4922_20220516_RGB.png,33.7984,-107.4922,2022-05-16,RGB
26.5161_-80.9432_20220517_RGB.png,26.5161,-80.9432,2022-05-17,RGB
31.5615_-92.5385_20220517_Infrared.png,31.5615,-92.5385,2022-05-17,Infrared
30.7073_-100.2345_20220517_RGB.png,30.7073,-100.2345,2022-05-17,RGB
36.0794_-105.4987_20220517_Infrared.png,36.0794,-105.4987,2022-05-17,Infrared
36.0637_-105.5298_20220517_Infrared.png,36.0637,-105.5298,2022-05-17,Infrared
35.8319_-105.5298_20220517_Infrared.png,35.8319,-105.5298,2022-05-17,Infrared
35.83_-105.5535_20220517_RGB.png,35.83,-105.5535,2022-05-17,RGB
33.4381_-112.1413_20220518_Infrared.png,33.4381,-112.1413,2022-05-18,Infrared
31.5257_-98.3027_20220518_Infrared.png,31.5257,-98.3027,2022-05-18,Infrared
33.875_-99.3243_20220518_RGB.png,33.875,-99.3243,2022-05-18,RGB
33.8855_-99.3221_20220518_Infrared.png,33.8855,-99.3221,2022-05-18,Infrared
33.1723_-107.8163_20220519_Infrared.png,33.1723,-107.8163,2022-05-19,Infrared
33.1841_-107.7966_20220519_RGB.png,33.1841,-107.7966,2022-05-19,RGB
33.1859_-107.9175_20220519_RGB.png,33.1859,-107.9175,2022-05-19,RGB
33.2865_-107.9214_20220519_RGB.png,33.2865,-107.9214,2022-05-19,RGB
33.2954_-107.9231_20220519_Infrared.png,33.2954,-107.9231,2022-05-19,Infrared
33.3248_-107.8415_20220519_RGB.png,33.3248,-107.8415,2022-05-19,RGB
33.3117_-107.9373_20220519_Infrared.png,33.3117,-107.9373,2022-05-19,Infrared
33.3161_-107.9771_20220519_Infrared.png,33.3161,-107.9771,2022-05-19,Infrared
33.3161_-107.9771_20220519_RGB.png,33.3161,-107.9771,2022-05-19,RGB
