date,latitude,longitude,precipitation,wind_speed,wind_direction
20220503,35.6367,-105.2976,0.02,5.52,188.9
20220504,35.6367,-105.2976,0.04,6.25,284.6
20220511,36.0428,-105.479,0.18,4.77,205.7
20220512,36.0428,-105.479,0.1,4.96,273.6
20220513,36.0428,-105.479,0.12,3.5,287.8
20220629,66.0569,-142.7149,0.0,1.49,257.4
20220630,66.0569,-142.7149,0.0,1.01,188.6
20220701,66.0569,-142.7149,0.0,1.38,111.2
20220503,30.4378,-85.5642,0.18,2.96,197.2
20220504,30.4378,-85.5642,0.52,1.95,231.4
20220505,30.4378,-85.5642,0.38,2.83,218.4
20220608,62.1943,-163.0139,0.0,4.3,37.8
20220609,62.1943,-163.0139,0.06,3.32,42.8
20220610,62.1943,-163.0139,0.0,5.79,2.3
20220528,33.4213,-110.8571,0.0,5.03,234.7
20220529,33.4213,-110.8571,0.0,5.92,240.8
20220530,33.4213,-110.8571,0.0,4.68,243.2
20220723,37.5269,-119.8877,0.0,1.88,269.1
20220724,37.5269,-119.8877,0.0,2.04,263.8
20220725,37.5269,-119.8877,0.02,1.98,247.6
20220515,33.2024,-108.0161,0.0,2.89,233.3
20220516,33.2024,-108.0161,0.0,3.3,256.3
20220517,33.2024,-108.0161,0.0,3.72,264.7
20220710,64.0764,-153.8331,0.17,1.92,318.2
20220711,64.0764,-153.8331,0.01,2.06,319.0
20220712,64.0764,-153.8331,0.17,1.6,330.7
20220331,27.339,-97.9585,0.0,3.66,78.3
20220401,27.339,-97.9585,0.0,4.87,108.7
20220402,27.339,-97.9585,0.0,3.59,72.2
20220608,62.2758,-162.9119,0.0,4.12,32.1
20220609,62.2758,-162.9119,0.03,3.41,34.4
20220610,62.2758,-162.9119,0.0,5.91,7.3
20220512,36.0405,-105.4934,0.1,4.96,273.6
20220513,36.0405,-105.4934,0.12,3.5,287.8
20220514,36.0405,-105.4934,0.09,3.09,296.2
20220519,33.2954,-107.9231,0.0,5.2,263.1
20220520,33.2954,-107.9231,0.04,8.65,249.8
20220521,33.2954,-107.9231,0.0,5.16,243.7
20220702,65.7583,-143.0564,1.14,1.22,142.8
20220703,65.7583,-143.0564,0.55,0.86,158.2
20220704,65.7583,-143.0564,1.93,0.96,250.2
20220613,35.3885,-111.4062,0.0,9.5,226.8
20220614,35.3885,-111.4062,0.0,4.51,255.6
20220615,35.3885,-111.4062,0.0,1.59,4.4
20220624,61.4937,-154.7856,0.03,1.35,194.2
20220625,61.4937,-154.7856,0.0,2.33,163.7
20220626,61.4937,-154.7856,0.84,2.23,167.3
20220609,31.5959,-108.9956,0.29,2.35,222.3
20220610,31.5959,-108.9956,0.13,3.18,308.4
20220611,31.5959,-108.9956,0.01,4.74,277.6
20220615,35.8968,-105.5225,0.24,2.93,268.7
20220616,35.8968,-105.5225,2.89,3.11,164.3
20220617,35.8968,-105.5225,2.68,3.6,169.8
20220511,36.1287,-105.3956,0.18,4.77,205.7
20220512,36.1287,-105.3956,0.1,4.96,273.6
20220513,36.1287,-105.3956,0.12,3.5,287.8
20220426,35.7657,-106.5008,0.0,4.07,195.8
20220427,35.7657,-106.5008,0.09,4.36,232.1
20220428,35.7657,-106.5008,0.0,3.4,257.1
20220723,37.5581,-119.8701,0.0,1.88,269.1
20220724,37.5581,-119.8701,0.0,2.04,263.8
20220725,37.5581,-119.8701,0.02,1.98,247.6
20220617,40.0738,-114.4054,0.04,10.19,197.9
20220618,40.0738,-114.4054,0.0,6.93,210.6
20220619,40.0738,-114.4054,0.5,4.03,316.5
20220501,35.7357,-106.535,0.01,5.74,214.4
20220502,35.7357,-106.535,0.07,4.88,287.2
20220503,35.7357,-106.535,0.0,4.8,232.4
20220224,19.409,-155.2816,0.17,4.46,84.7
20220225,19.409,-155.2816,3.04,4.58,76.1
20220226,19.409,-155.2816,1.3,4.17,91.2
20220520,33.1923,-107.9865,0.26,6.59,257.1
20220521,33.1923,-107.9865,0.0,4.33,256.2
20220522,33.1923,-107.9865,0.0,3.57,158.3
