date,latitude,longitude,precipitation,wind_speed,wind_direction,Identifier
20220701,63.7104,-153.2204,0.0,1.78,187.2,63.7104_-153.2204_20220701
20220702,63.7104,-153.2204,0.45,1.4,267.5,63.7104_-153.2204_20220702
20220703,63.7104,-153.2204,2.55,1.2,305.9,63.7104_-153.2204_20220703
20220610,61.5463,-157.9373,0.04,3.57,359.2,61.5463_-157.9373_20220610
20220611,61.5463,-157.9373,0.01,2.83,299.5,61.5463_-157.9373_20220611
20220612,61.5463,-157.9373,3.1,2.3,220.3,61.5463_-157.9373_20220612
20220122,19.3982,-155.2831,0.17,4.49,33.9,19.3982_-155.2831_20220122
20220123,19.3982,-155.2831,0.38,5.21,44.0,19.3982_-155.2831_20220123
20220124,19.3982,-155.2831,0.03,5.68,37.7,19.3982_-155.2831_20220124
20220623,66.0404,-142.8446,5.6,1.36,266.3,66.0404_-142.8446_20220623
20220624,66.0404,-142.8446,0.27,1.59,247.4,66.0404_-142.8446_20220624
20220625,66.0404,-142.8446,0.08,1.2,255.9,66.0404_-142.8446_20220625
20220612,59.9614,-156.0179,0.65,4.24,201.8,59.9614_-156.0179_20220612
20220613,59.9614,-156.0179,5.55,2.54,174.0,59.9614_-156.0179_20220613
20220614,59.9614,-156.0179,1.05,1.86,107.7,59.9614_-156.0179_20220614
20220609,60.703,-157.0229,0.16,4.45,6.7,60.703_-157.0229_20220609
20220610,60.703,-157.0229,0.0,4.71,356.5,60.703_-157.0229_20220610
20220611,60.703,-157.0229,0.09,3.14,218.2,60.703_-157.0229_20220611
20220512,36.0621,-105.4723,0.1,4.96,273.6,36.0621_-105.4723_20220512
20220513,36.0621,-105.4723,0.12,3.5,287.8,36.0621_-105.4723_20220513
20220514,36.0621,-105.4723,0.09,3.09,296.2,36.0621_-105.4723_20220514
20220702,65.7714,-143.0538,1.14,1.22,142.8,65.7714_-143.0538_20220702
20220703,65.7714,-143.0538,0.55,0.86,158.2,65.7714_-143.0538_20220703
20220704,65.7714,-143.0538,1.93,0.96,250.2,65.7714_-143.0538_20220704
20220613,35.2897,-111.5609,0.0,9.5,226.8,35.2897_-111.5609_20220613
20220614,35.2897,-111.5609,0.0,4.51,255.6,35.2897_-111.5609_20220614
20220615,35.2897,-111.5609,0.0,1.59,4.4,35.2897_-111.5609_20220615
20220613,35.3256,-111.6339,0.0,9.26,226.1,35.3256_-111.6339_20220613
20220614,35.3256,-111.6339,0.0,4.39,246.6,35.3256_-111.6339_20220614
20220615,35.3256,-111.6339,0.0,2.48,259.6,35.3256_-111.6339_20220615
20220522,19.414,-155.2799,0.04,4.98,74.2,19.414_-155.2799_20220522
20220523,19.414,-155.2799,0.41,4.76,94.7,19.414_-155.2799_20220523
20220524,19.414,-155.2799,0.16,4.53,88.7,19.414_-155.2799_20220524
