image_name,lat,lon,date,spectrum,wildfire_event_id
19.4011_-155.2821_20220704_Infrared.png,19.4011,-155.2821,2022-07-04,Infrared,12.0
19.4011_-155.2723_20220313_Infrared.png,19.4011,-155.2723,2022-03-13,Infrared,15.0
19.4013_-155.2751_20220120_Infrared.png,19.4013,-155.2751,2022-01-20,Infrared,16.0
19.4014_-155.2823_20220312_Infrared.png,19.4014,-155.2823,2022-03-12,Infrared,2.0
19.4014_-155.2818_20220127_Infrared.png,19.4014,-155.2818,2022-01-27,Infrared,3.0
19.4014_-155.2788_20220313_Infrared.png,19.4014,-155.2788,2022-03-13,Infrared,17.0
19.4018_-155.2753_20220225_Infrared.png,19.4018,-155.2753,2022-02-25,Infrared,18.0
19.4019_-155.2756_20220125_Infrared.png,19.4019,-155.2756,2022-01-25,Infrared,16.0
19.4021_-155.2808_20220312_Infrared.png,19.4021,-155.2808,2022-03-12,Infrared,2.0
19.4021_-155.2732_20220605_Infrared.png,19.4021,-155.2732,2022-06-05,Infrared,19.0
19.4023_-155.2876_20220216_Infrared.png,19.4023,-155.2876,2022-02-16,Infrared,3.0
19.4025_-155.2986_20220106_Infrared.png,19.4025,-155.2986,2022-01-06,Infrared,20.0
19.4026_-155.2805_20220126_Infrared.png,19.4026,-155.2805,2022-01-26,Infrared,3.0
19.4026_-155.2784_20220209_Infrared.png,19.4026,-155.2784,2022-02-09,Infrared,3.0
19.403_-155.2862_20220226_Infrared.png,19.403,-155.2862,2022-02-26,Infrared,2.0
19.4033_-155.2851_20220125_Infrared.png,19.4033,-155.2851,2022-01-25,Infrared,21.0
19.4034_-155.2823_20220226_Infrared.png,19.4034,-155.2823,2022-02-26,Infrared,17.0
19.4036_-155.2861_20220307_Infrared.png,19.4036,-155.2861,2022-03-07,Infrared,22.0
19.4036_-155.2817_20220522_Infrared.png,19.4036,-155.2817,2022-05-22,Infrared,7.0
19.4036_-155.279_20220619_Infrared.png,19.4036,-155.279,2022-06-19,Infrared,12.0
19.4037_-155.2866_20220605_Infrared.png,19.4037,-155.2866,2022-06-05,Infrared,7.0
19.4037_-155.27_20220522_Infrared.png,19.4037,-155.27,2022-05-22,Infrared,19.0
19.4039_-155.2616_20220311_Infrared.png,19.4039,-155.2616,2022-03-11,Infrared,23.0
19.404_-155.297_20220115_Infrared.png,19.404,-155.297,2022-01-15,Infrared,13.0
19.4042_-155.2865_20220121_Infrared.png,19.4042,-155.2865,2022-01-21,Infrared,11.0
19.4043_-155.2865_20220308_Infrared.png,19.4043,-155.2865,2022-03-08,Infrared,22.0
19.4044_-155.2882_20220122_Infrared.png,19.4044,-155.2882,2022-01-22,Infrared,11.0
19.4046_-155.2946_20220125_Infrared.png,19.4046,-155.2946,2022-01-25,Infrared,11.0
19.4046_-155.2907_20220226_Infrared.png,19.4046,-155.2907,2022-02-26,Infrared,22.0
19.4047_-155.2928_20220606_Infrared.png,19.4047,-155.2928,2022-06-06,Infrared,24.0
19.4047_-155.2918_20220226_Infrared.png,19.4047,-155.2918,2022-02-26,Infrared,25.0
19.4049_-155.2836_20220210_Infrared.png,19.4049,-155.2836,2022-02-10,Infrared,26.0
19.405_-155.289_20220619_Infrared.png,19.405,-155.289,2022-06-19,Infrared,24.0
19.405_-155.2798_20220313_Infrared.png,19.405,-155.2798,2022-03-13,Infrared,17.0
19.4051_-155.2884_20220102_Infrared.png,19.4051,-155.2884,2022-01-02,Infrared,27.0
19.4051_-155.2798_20220312_Infrared.png,19.4051,-155.2798,2022-03-12,Infrared,17.0
19.4052_-155.2737_20220306_Infrared.png,19.4052,-155.2737,2022-03-06,Infrared,15.0
19.4053_-155.2841_20220318_Infrared.png,19.4053,-155.2841,2022-03-18,Infrared,22.0
19.4053_-155.2823_20220106_Infrared.png,19.4053,-155.2823,2022-01-06,Infrared,28.0
19.4054_-155.2902_20220122_Infrared.png,19.4054,-155.2902,2022-01-22,Infrared,29.0
19.4054_-155.2796_20220127_Infrared.png,19.4054,-155.2796,2022-01-27,Infrared,16.0
19.4055_-155.2948_20220209_Infrared.png,19.4055,-155.2948,2022-02-09,Infrared,13.0
19.4055_-155.2943_20220224_Infrared.png,19.4055,-155.2943,2022-02-24,Infrared,13.0
19.4056_-155.2953_20220704_Infrared.png,19.4056,-155.2953,2022-07-04,Infrared,24.0
19.4057_-155.2782_20220704_Infrared.png,19.4057,-155.2782,2022-07-04,Infrared,14.0
19.4058_-155.2955_20220311_Infrared.png,19.4058,-155.2955,2022-03-11,Infrared,25.0
19.4059_-155.295_20220522_Infrared.png,19.4059,-155.295,2022-05-22,Infrared,24.0
19.4059_-155.2897_20220522_Infrared.png,19.4059,-155.2897,2022-05-22,Infrared,24.0
19.4059_-155.2896_20220318_Infrared.png,19.4059,-155.2896,2022-03-18,Infrared,22.0
19.406_-155.2854_20220521_Infrared.png,19.406,-155.2854,2022-05-21,Infrared,30.0
19.406_-155.28_20220226_Infrared.png,19.406,-155.28,2022-02-26,Infrared,17.0
19.406_-155.2777_20220122_Infrared.png,19.406,-155.2777,2022-01-22,Infrared,16.0
19.4062_-155.2931_20220210_Infrared.png,19.4062,-155.2931,2022-02-10,Infrared,31.0
19.4063_-155.2738_20220126_Infrared.png,19.4063,-155.2738,2022-01-26,Infrared,32.0
19.4064_-155.2867_20220307_Infrared.png,19.4064,-155.2867,2022-03-07,Infrared,22.0
19.4064_-155.2789_20220102_Infrared.png,19.4064,-155.2789,2022-01-02,Infrared,28.0
19.4068_-155.2906_20220312_Infrared.png,19.4068,-155.2906,2022-03-12,Infrared,22.0
19.4068_-155.2649_20220106_Infrared.png,19.4068,-155.2649,2022-01-06,Infrared,33.0
19.4069_-155.28_20220606_Infrared.png,19.4069,-155.28,2022-06-06,Infrared,34.0
19.407_-155.2844_20220704_Infrared.png,19.407,-155.2844,2022-07-04,Infrared,35.0
19.4071_-155.2877_20220704_Infrared.png,19.4071,-155.2877,2022-07-04,Infrared,35.0
19.4071_-155.2812_20220127_Infrared.png,19.4071,-155.2812,2022-01-27,Infrared,21.0
19.4072_-155.2859_20220306_Infrared.png,19.4072,-155.2859,2022-03-06,Infrared,22.0
19.4072_-155.2709_20220216_Infrared.png,19.4072,-155.2709,2022-02-16,Infrared,36.0
19.4073_-155.2798_20220318_Infrared.png,19.4073,-155.2798,2022-03-18,Infrared,37.0
19.4073_-155.2763_20220604_Infrared.png,19.4073,-155.2763,2022-06-04,Infrared,34.0
19.4074_-155.2803_20220520_Infrared.png,19.4074,-155.2803,2022-05-20,Infrared,34.0
19.4074_-155.279_20220307_Infrared.png,19.4074,-155.279,2022-03-07,Infrared,37.0
